name,category,district,city,type,autonomous,minority,hostel_available,established_year,phone,email,website,address,pincode
"Indian Institute of Technology Bombay","Engineering","Mumbai","Mumbai","Government",true,false,true,1958,"+91-22-2572-2545","info@iitb.ac.in","https://www.iitb.ac.in","Powai, Mumbai, Maharashtra","400076"
"College of Engineering Pune","Engineering","Pune","Pune","Government",true,false,true,1854,"+91-20-2507-2000","info@coep.ac.in","https://www.coep.org.in","Wellesley Road, Shivajinagar, Pune","411005"
"Veermata Jijabai Technological Institute","Engineering","Mumbai","Mumbai","Government",true,false,true,1887,"+91-22-2419-2000","info@vjti.org.in","https://vjti.ac.in","H. R. Mahajani Road, Matunga, Mumbai","400019"
"King Edward Memorial Hospital and Seth Gordhandas Sunderdas Medical College","Medical","Mumbai","Mumbai","Government",false,false,true,1926,"+91-22-2413-0500","info@kemhospital.gov.in","https://www.kemhospitalmumbai.gov.in","Acharya Donde Marg, Parel, Mumbai","400012"
"B. J. Government Medical College","Medical","Pune","Pune","Government",false,false,true,1878,"+91-20-2613-0500","info@bjmc.edu.in","https://www.bjmc.edu.in","Jai Prakash Narayan Road, Near Railway Station, Pune","411001"
"St. Xavier's College","Arts","Mumbai","Mumbai","Private",true,true,false,1869,"+91-22-2262-6001","info@xaviers.edu","https://www.xaviers.edu","5, Mahapalika Marg, Mumbai","400001"
"Fergusson College","Arts","Pune","Pune","Private",true,false,true,1885,"+91-20-2565-1000","info@fergusson.edu","https://www.fergusson.edu","Fergusson College Road, Pune","411004"
"D. Y. Patil College of Engineering","Engineering","Pune","Pune","Private",false,false,true,1984,"+91-20-2693-9000","info@dypatil.edu","https://www.dypatil.edu","Sant Tukaram Nagar, Pimpri, Pune","411018"
"Thadomal Shahani Engineering College","Engineering","Mumbai","Mumbai","Private",false,false,false,1983,"+91-22-2652-7428","info@tsec.edu","https://www.tsec.edu","32nd Road, Bandra West, Mumbai","400050"
"Government College of Engineering Nagpur","Engineering","Nagpur","Nagpur","Government",false,false,true,1951,"+91-712-280-1001","info@gcoej.ac.in","https://www.gcoej.ac.in","Hingna Road, Nagpur","440016"
"Government Medical College Nagpur","Medical","Nagpur","Nagpur","Government",false,false,true,1946,"+91-712-254-0853","info@gmcnagpur.edu.in","https://www.gmcnagpur.edu.in","Medical Square, Nagpur","440003"
"Symbiosis International University","Management","Pune","Pune","Private",true,false,true,1971,"+91-20-2528-1000","info@siu.edu.in","https://www.siu.edu.in","Gram: Lavale, Taluka: Mulshi, Pune","412115"
"Mumbai University","Arts","Mumbai","Mumbai","Government",true,false,false,1857,"+91-22-2652-5020","info@mu.ac.in","https://www.mu.ac.in","Kalina, Santacruz East, Mumbai","400098"
"Pune University","Arts","Pune","Pune","Government",true,false,false,1949,"+91-20-2565-3100","info@unipune.ac.in","https://www.unipune.ac.in","Ganeshkhind, Pune","411007"
"Sardar Patel College of Engineering","Engineering","Mumbai","Mumbai","Government",true,false,true,1962,"+91-22-2670-1016","info@spce.ac.in","https://www.spce.ac.in","Bhavan's Campus, Munshi Nagar, Andheri West, Mumbai","400058"
